,NAME,ensembl,htseqout_filter_B24,htseqout_filter_C24,htseqout_filter_D24,htseqout_filter_E24,htseqout_filter_F24,htseqout_filter_G24
0,a,FBgn0000008,-1.252189492,3.041422062,1.927166025,0.248023002,-0.579761743,-0.27939331
1,Abl,FBgn0000017,8.324810003,7.817624605,8.490435065,8.409869457,8.489552095,8.389468072
2,abo,FBgn0000018,3.510058162,3.865157811,3.454978742,4.068635137,2.707914275,1.462064766
3,Ace,FBgn0000024,10.47314529,10.51654791,10.49407399,11.09548974,11.08658905,10.95068791
4,acj6,FBgn0000028,7.156601824,7.144360468,7.304572303,8.120812999,7.967646097,7.841374933
5,Acph-1,FBgn0000032,5.375875969,5.868889055,5.210683403,5.358427464,5.25612634,5.078456009
6,nAChRalpha1,FBgn0000036,5.634402662,6.060732813,5.978589745,5.42741062,5.110309425,5.440175858
7,mAChR-A,FBgn0000037,8.907479217,8.609097766,8.502516454,8.611671369,8.84750444,8.699050192
8,nAChRbeta1,FBgn0000038,11.85810271,12.04938026,12.14914308,12.29981496,12.32221401,12.25817064
9,nAChRalpha2,FBgn0000039,7.984501761,7.728823508,7.627620862,7.677467122,7.838487837,7.791416535
10,Act5C,FBgn0000042,12.94426767,12.93679651,12.98732587,13.1349359,13.13534745,12.99097684
11,Act42A,FBgn0000043,12.76624457,12.82162996,12.87537264,12.64501336,12.67241066,12.665165
12,Act87E,FBgn0000046,2.919984058,3.248061111,2.388376758,3.238636845,2.517235625,2.040872701
13,ade2,FBgn0000052,-3.349234113,0.143841603,2.226063042,-1.853577458,-0.654333047,1.053155688
14,ade3,FBgn0000053,3.352383865,4.150238223,2.238282343,2.409607774,2.482853588,1.07194261
15,Adf1,FBgn0000054,9.024881929,9.428099413,9.154718774,10.16558485,10.29916159,10.14279204
16,adp,FBgn0000057,5.678364323,5.679639583,5.369095664,5.272043449,4.574373179,4.785925152
17,Mps1,FBgn0000063,1.455804512,3.239479084,2.137501208,2.807580181,2.978555918,3.324378066
18,Ald,FBgn0000064,10.04421647,10.19931006,10.29916131,10.27917808,10.3274796,10.15361504
19,Ama,FBgn0000071,4.069532808,4.934303955,4.786608954,3.806673048,4.819660803,3.437354037
20,amx,FBgn0000077,5.116746885,5.408208613,4.969976209,4.187947131,4.133837635,4.83211578
21,AnxB9,FBgn0000083,3.169618946,3.712291038,2.137501208,3.282990199,3.93836087,3.760517783
22,AnxB10,FBgn0000084,6.812066493,6.514637893,6.808950759,6.712777,6.84375768,6.681656487
23,aop,FBgn0000097,5.712200528,5.475531021,5.272886825,5.634540501,5.458780378,5.947057223
24,RpLP0,FBgn0000100,9.740857785,9.745131033,9.768845405,9.71818802,9.705117522,9.798621436
25,Appl,FBgn0000108,8.853765371,8.936113149,8.687113863,8.639075056,8.602197438,8.699710948
26,Aprt,FBgn0000109,3.48724794,3.290221781,3.878410742,2.686723469,2.456518428,3.235517464
27,aret,FBgn0000114,4.335254436,4.283528832,3.66869361,4.017048593,3.596351638,2.743900879
28,Arl1,FBgn0000115,5.296751597,5.507156186,5.630145132,5.490668782,5.32930913,5.541379929
29,Argk,FBgn0000116,9.526376115,9.550882876,9.690482975,9.361490342,9.529259008,9.364308891
30,arm,FBgn0000117,10.87148297,10.45211384,10.31533739,10.85432693,11.11646378,10.74420132
31,arr,FBgn0000119,4.141421095,3.491558906,4.539942321,4.917830826,4.811025513,4.962426442
32,ash2,FBgn0000139,6.413417345,5.881354731,5.570989036,5.345177124,6.069729217,5.264511038
33,aub,FBgn0000146,3.163876761,1.908143235,1.509951068,1.747430421,0.805406244,1.296217381
34,aurA,FBgn0000147,2.94698324,3.080388002,3.585053902,3.57982157,2.990842047,1.090488029
35,awd,FBgn0000150,8.020891493,8.491147998,8.695724035,8.629933167,8.466642711,8.491659119
36,Axs,FBgn0000152,1.581734324,2.20997439,3.608777698,3.158660348,3.452744769,4.947243948
37,Dll,FBgn0000157,3.037689454,0.529009919,0.618033949,0.716345841,1.481555366,1.558469726
38,baz,FBgn0000163,0.80098932,3.294370868,1.644578948,0.974162084,2.508716628,1.034120889
39,ben,FBgn0000173,7.02381597,7.3404416,7.444959518,7.4267401,7.250212764,7.328435513
40,bi,FBgn0000179,2.023461092,3.484313066,3.806374582,2.129492369,4.006505414,2.761367585
41,bib,FBgn0000180,7.167403872,7.850577643,7.519757779,7.106626413,7.8312465,7.427722247
42,bic,FBgn0000181,7.346318905,7.39989484,7.403173916,7.626742117,7.227679505,7.582928527
43,BicD,FBgn0000183,5.865113629,5.342607544,6.053975045,6.00145598,6.047846029,5.454564317
44,brm,FBgn0000212,6.49572001,6.349495882,6.243964031,5.747482244,6.227306629,5.931711256
45,brn,FBgn0000221,3.914026074,4.010951245,3.178867644,2.877620213,4.139366789,3.466044378
46,Bsg25D,FBgn0000228,3.751243601,2.912392418,2.377369446,2.111717141,3.500787973,2.253295064
47,bsk,FBgn0000229,8.779904079,8.71348855,8.715525781,8.491066324,8.406436032,8.47035428
48,btd,FBgn0000233,-0.01203022,1.176324414,-4.002720471,1.41199562,1.645954032,2.069199962
49,bur,FBgn0000239,5.602918599,5.818640861,5.245907663,5.373423177,5.273830657,5.275696403
50,bw,FBgn0000241,2.168158625,2.165364497,-0.51643803,2.303994933,3.421317233,3.903723289
51,by,FBgn0000244,0.270412883,-1.043938746,1.927166025,0.913897529,-0.654333047,-0.857381522
52,ca,FBgn0000247,7.043103386,7.451431777,7.000919304,7.952368219,7.723556696,7.737277272
53,cact,FBgn0000250,5.896615817,5.102275746,5.55886107,5.484638983,5.879651908,5.352616626
54,Cam,FBgn0000253,9.880393883,9.972405843,10.10780172,9.584475854,9.573902675,9.803152435
55,capu,FBgn0000256,2.371170639,2.980925827,2.201309502,3.510293172,3.283292015,3.378202787
56,car,FBgn0000257,5.459114391,5.851394963,4.819512584,5.300763053,4.732719907,4.805702077
57,CkIIbeta,FBgn0000259,8.675186791,8.603779055,8.840640425,8.840439189,8.760482587,8.757247707
