"","flybase_gene_id","external_gene_name","description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3755","FBgn0263408","asRNA:CR43454","antisense RNA:CR43454",8.27259139736392,-1.77045416368682,4.36921400736835,0.00142349276883391,0.0338058961893303,-3.68725106750172
"6724","FBgn0265106","lncRNA:CR44208","long non-coding RNA:CR44208",7.88893255771888,-0.62591739652785,3.59106806603554,0.0049737614109567,0.0720419485728055,-3.8394904117587
"4457","FBgn0037414","Osi7","Osiris 7",7.27991056654326,-2.15233486038044,3.2565599508415,0.00869964418780078,0.0987331649183545,-3.94849065964525
"6139","FBgn0034827","Klp59D","Kinesin-like protein at 59D",6.84939431146638,-0.470698586097057,2.60213531483089,0.0265304696837113,0.197643580590259,-4.1158746935646
"6773","FBgn0050046","CG30046","",6.73607979068492,-0.849958942790652,2.50348907567661,0.031405640390956,0.215096796044461,-4.1499142780287
"196","FBgn0035398","Cht7","Chitinase 7",6.67921768017078,1.97238653861241,2.98202866295922,0.0138581729299876,0.130737780672455,-3.60415039891317
"3804","FBgn0034391","CG15080","",6.6241918509688,0.116191773777021,3.89999936225058,0.00299924340397141,0.0535756153270284,-3.76739557702273
"1752","FBgn0044028","Notum","Notum",6.39001152494167,-1.78016756795152,3.59032292048944,0.00497989859916679,0.0720419485728055,-3.87296978817635
"4069","FBgn0031756","CG13992","",6.29773288666522,-0.804163663253841,2.25394282673706,0.0480300423040416,0.269210680499529,-4.22999829233932
"2319","FBgn0039686","CG15506","",6.03405461842759,0.532478105805943,3.18393600694351,0.00983511887728633,0.106651952662115,-3.9128100246687
"1508","FBgn0264261","lncRNA:CR43761","long non-coding RNA:CR43761",5.96580246654081,-1.05721447820424,3.72663123848894,0.00397828165601357,0.0642230655549381,-3.82691981205547
"2257","FBgn0037411","Osi3","Osiris 3",5.92554874556434,0.0825059794782325,1.95088590909074,0.0798282562391596,0.339698216250547,-4.3232654792669
"4982","FBgn0010383","Cyp18a1","Cytochrome P450-18a1",5.91638070501303,-1.15930231604931,3.77186868926727,0.00369430395842943,0.0614495862882887,-3.82003976095749
"7501","FBgn0051524","CG31524","",5.77088429871879,-1.73675875343383,3.3932661917522,0.00691381156283168,0.0875750049984893,-3.9264061214138
"6160","FBgn0033365","CG8170","",5.76158041991279,-1.11700742263434,2.85775163129396,0.0171323304010109,0.150885700862923,-4.05160321656217
"641","FBgn0004379","Klp67A","Kinesin-like protein at 67A",5.70115441606637,-0.200080553979208,3.36202794390295,0.00728545142639651,0.0893500811502987,-3.90296142492617
"6698","FBgn0030900","Him","Holes in muscle",5.60097631662306,-1.78822661562615,3.27632944255092,0.00841451404922405,0.0970977127461761,-3.96092667547421
"6161","FBgn0030073","CG10962","",5.11373150904505,-1.74566511108832,2.75212271248819,0.0205241805608126,0.168985161992181,-4.10529918870385
"1744","FBgn0260399","gwl","greatwall",5.05602539379827,-1.06103131119537,3.10502528012748,0.0112423083576713,0.115472559718731,-3.99067520416082
"7064","FBgn0038819","Cpr92F","Cuticular protein 92F",4.95741157844417,0.857032716809446,3.16046845805844,0.0102336793018319,0.10906633310396,-3.68259365269393
"7038","FBgn0035806","PGRP-SD","Peptidoglycan recognition protein SD",4.93378552254891,-1.82936811197496,3.01858790873371,0.0130216068085118,0.127116213922742,-4.03798041987714
"6174","FBgn0030979","CG14190","",4.88982205248866,-0.95173779158744,2.48297710799052,0.0325257074836497,0.219068638027172,-4.16795529223365
"4995","FBgn0027107","Inx6","Innexin 6",4.87038789969909,-1.48443079619881,1.87165584994006,0.0909621788010378,0.361604365364358,-4.3644454348285
"3131","FBgn0038208","CG14355","",4.867306717856,-0.700336622788658,1.70049178136768,0.120081927584237,0.412066802206159,-4.41175935628077
"6669","FBgn0029791","AdamTS-B","ADAM metallopeptidase with thrombospondin type 1 motif B",4.75036575491977,-1.1391833409514,2.74535219949343,0.0207633404051277,0.169763550357149,-4.09545486178071
"1017","FBgn0028513","CG9254","",4.65021208547979,-0.39951303047123,1.78535901439822,0.104718062519218,0.385514480161474,-4.37962986332434
"2824","FBgn0035007","CG3492","",4.62984961279479,-0.187615019207089,2.51858559329213,0.0306057281586292,0.212764186361638,-4.12531039034008
"2093","FBgn0052037","CG32037","",4.51988411938084,-0.978489658384994,2.89884027916812,0.015971098171497,0.143399094023092,-4.05140572757407
"7880","FBgn0038126","CG8483","",4.47245771177372,-0.565123881801896,2.32331068375011,0.0426971381879412,0.254846539571503,-4.20781679483517
"6855","FBgn0040060","yip7","yippee interacting protein 7",4.44695267021915,-0.972600918144124,2.59565439684521,0.0268263039272907,0.198766221253875,-4.13911456291267
"5528","FBgn0037662","CG11997","",4.41074444119305,-0.286299494477635,2.59974945387271,0.026638997491522,0.198272321003475,-4.0723317597713
"3328","FBgn0032663","CG15153","",4.37285636614025,0.104042371045449,2.33309919803155,0.0419926302082666,0.253157331196865,-4.10559233352477
"4917","FBgn0052029","Cpr66D","Cuticular protein 66D",4.34949465022387,-1.64666105436087,2.34982941738406,0.0408146860840635,0.249720234961094,-4.22711893093856
"1688","FBgn0013811","Dhc62B","Dynein heavy chain at 62B",4.34327782351106,2.05739454663731,4.0233276532471,0.00245878848737033,0.0462331006881511,-2.56874886287897
"1958","FBgn0037896","ninaG","ninaG",4.33839750268638,-0.00457353712110207,2.79128844945175,0.0191940303521473,0.162260645476949,-3.95175974903224
"3534","FBgn0031435","Elba2","Early boundary activity 2",4.3318559620914,-0.759179312004584,2.09955897640024,0.0623091768228567,0.30621680978075,-4.28685676426178
"7450","FBgn0001187","Hex-C","Hexokinase C",4.28996036931747,-1.46713241871928,1.98220005920609,0.0757904238560967,0.332854042130169,-4.33465677071747
"385","FBgn0052834","CG32834","",4.26245910520651,-0.379710225738467,2.24298492543312,0.0489295583811756,0.271067795049572,-4.2154708754424
"5909","FBgn0036752","Adgf-A","Adenosine deaminase-related growth factor A",4.25972807026843,0.706056646504348,2.95423318835007,0.0145306048204608,0.13416976126435,-3.70959268890683
"4291","FBgn0039244","CG11069","",4.19530959739565,-1.29214369958972,1.96602257787208,0.0778518439340807,0.336564170614015,-4.3387274345981
"6343","FBgn0039972","Marf1","Meiosis regulator and mRNA stability factor 1",4.17441325926559,0.776090645939125,2.16788541429514,0.0555472846847659,0.28732768694745,-4.04770344812414
"861","FBgn0039424","ppk15","pickpocket 15",4.14580303938279,0.0594175480470514,2.38613270941509,0.0383686475014062,0.24117750246458,-4.07113805794554
"500","FBgn0002564","Lsp1gamma","Larval serum protein 1 gamma",4.10410440652433,-0.867025517931913,1.53238721516548,0.156636758894488,0.46616597168997,-4.46692141442383
"4893","FBgn0038133","Osi22","Osiris 22",4.087888451949,0.495101460279553,1.86252255018168,0.0923346830065402,0.363717205304286,-4.27782011374605
"5715","FBgn0034681","CG9308","",4.073371466472,-0.682947246790489,2.14460685239709,0.0577679332077286,0.294283389440735,-4.26544305124909
"4446","FBgn0038595","CG7142","",4.03182308335037,-0.28376051585787,2.88918556036355,0.0162365948586666,0.145175299187881,-3.97174869129619
"6442","FBgn0045980","niki","nimA-like kinase",4.00773009384681,-0.138248361268072,1.69985297134863,0.12020495617478,0.412066802206159,-4.37606733058155
"6388","FBgn0035581","Dnah3","dynein, axonemal, heavy chain 3",4.00160050956159,-0.617810096766187,1.2868600789241,0.22732476092024,0.540628841288976,-4.53730569680141
"3364","FBgn0036716","CG13728","",4.00049592863565,-1.80857097742152,1.90790786836022,0.0856992580162541,0.352888377103911,-4.36599678362087
"427","FBgn0034999","Fatp3","Fatty acid transport protein 3",3.97534495964506,3.69991533285273,4.24587305276484,0.00172660158782344,0.0375330297543525,-1.25823547822773
"19","FBgn0260986","mei-38","meiotic 38",3.90892042092048,-0.937928566100047,2.36514892664061,0.0397644240936067,0.245119484453988,-4.20837514095605
"7081","FBgn0267796","Tmc","Transmembrane channel-like",3.88097735488912,1.09355395519114,1.69080699192689,0.121959395174012,0.413837841067071,-4.29856381894824
"7855","FBgn0037004","CG17637","",3.83012883170896,-0.729267520427469,2.02486441991117,0.0705979137208332,0.321172773519494,-4.29691638772101
"1910","FBgn0033969","Pgm2b","Phosphoglucomutase 2b",3.82159057103508,-1.209189351025,2.27597396742971,0.0462697997781186,0.265484618772785,-4.2454097558294
"1327","FBgn0052499","Cda4","Chitin deacetylase-like 4",3.80354402578281,-1.22745800249353,1.78163396869161,0.105352847662222,0.386293774761482,-4.3958793926638
"3395","FBgn0029835","CG5921","",3.79266949051537,-0.752012871073206,1.91755945598072,0.0843466975086315,0.350000058202122,-4.33832406205454
"5422","FBgn0004389","bnk","bottleneck",3.79015882718938,0.09339531820028,2.26242899233391,0.0473444571478513,0.267926587041249,-4.09211868788018
"3498","FBgn0016076","vri","vrille",3.78835558793709,1.56918310670692,1.87791766993,0.0900321536334247,0.360347884269776,-4.13855859698552
"637","FBgn0030747","CG4301","",3.78780779406138,-0.409008568724755,2.02502969350647,0.0705784688059059,0.321172773519494,-4.2590556404345
"2419","FBgn0039039","lmd","lame duck",3.76172082018571,0.92411443317145,2.28931101452581,0.0452347994693409,0.262359357793013,-3.97159525498702
"95","FBgn0025454","Cyp6g1","Cyp6g1",3.75193541905122,-0.465359022644298,1.76503873991934,0.108223879053851,0.391612131315241,-4.36518796414339
"2159","FBgn0037992","CG4702","",3.65896525819406,2.15904637144374,3.66654760719227,0.0043910914920058,0.0675850673751972,-2.54180441781837
"5474","FBgn0035090","CG2736","",3.56379966589389,-1.00285394638313,1.57480728993991,0.146585350470226,0.450614225519584,-4.45429817607018
"5921","FBgn0038191","CG9925","",3.54831398179079,1.96973156302423,2.3455744616056,0.041111173176706,0.250601268540796,-3.72122509168648
"2814","FBgn0004003","wbl","windbeutel",3.53208020065909,-0.191321333111339,2.22128378390761,0.0507593289793422,0.274040345744582,-4.16208542632319
"3008","FBgn0035975","PGRP-LA","Peptidoglycan recognition protein LA",3.51407857045684,-0.638147827572599,2.07024771080901,0.0654449762427823,0.310306618457555,-4.27425501047652
"3612","FBgn0035360","CG1246","",3.48952865262495,-0.573948777333495,1.89909900550205,0.0869513548734769,0.354289450466973,-4.33057070816761
"538","FBgn0036617","Cpr72Ea","Cuticular protein 72Ea",3.48528027804141,1.45930969665494,2.48724617895748,0.0322893868885275,0.218551805653238,-3.69632337374104
"7494","FBgn0051872","CG31872","",3.46477354032602,1.3936121571108,2.04952620126683,0.0677518214624475,0.316856412610661,-4.02680026906043
"2290","FBgn0034263","CG10934","",3.43498256081356,-1.90165480522498,1.70538531127455,0.119143252778488,0.410969505504202,-4.42893767677778
"2843","FBgn0086266","Vm26Ac","Vitelline membrane 26Aac",3.42572497505542,-0.0168713731431047,1.893725909278,0.0877234385872391,0.356197362483243,-4.27838361131544
