Genes,PN_VT_WT_acj6_B24,PN_VT_WT_acj6_C24,PN_VT_WT_acj6_D24,PN_VT_WT_acj6_E24,PN_VT_WT_acj6_F24,PN_VT_WT_acj6_G24
ERCC-00002,1,4,10,5,0,6
ERCC-00003,1,0,1,1,0,1
ERCC-00004,1,2,0,0,0,2
ERCC-00007,0,0,0,0,0,0
ERCC-00009,1,0,0,0,0,0
ERCC-00012,0,0,0,0,0,0
ERCC-00013,0,0,0,0,0,0
ERCC-00014,0,0,0,0,0,0
ERCC-00016,0,0,0,0,0,0
ERCC-00017,0,0,0,0,0,0
ERCC-00018,0,0,0,0,0,0
ERCC-00019,0,0,0,0,0,0
ERCC-00022,0,0,0,0,0,0
ERCC-00023,0,0,0,0,0,0
ERCC-00024,0,0,0,0,0,0
ERCC-00025,0,0,0,1,0,0
ERCC-00028,0,0,0,0,0,0
ERCC-00031,0,0,0,0,0,0
ERCC-00033,0,0,0,0,0,0
ERCC-00034,0,0,0,0,0,0
ERCC-00035,0,0,0,0,0,0
ERCC-00039,0,0,0,0,0,0
ERCC-00040,0,0,0,0,0,0
ERCC-00041,0,0,0,0,0,0
ERCC-00042,0,0,0,0,0,0
ERCC-00043,1,0,0,0,0,0
ERCC-00044,0,0,0,0,0,0
ERCC-00046,5,1,3,0,2,1
ERCC-00048,0,0,0,0,0,0
ERCC-00051,0,0,0,0,0,0
ERCC-00053,0,0,0,0,0,0
ERCC-00054,0,0,0,0,0,0
ERCC-00057,0,0,0,0,0,0
ERCC-00058,0,0,0,0,0,0
ERCC-00059,0,0,0,0,0,0
ERCC-00060,0,0,0,1,0,0
ERCC-00061,0,0,0,0,0,0
ERCC-00062,0,0,0,0,0,0
ERCC-00067,0,0,0,0,0,0
ERCC-00069,0,0,0,0,0,0
ERCC-00071,0,0,0,0,0,0
ERCC-00073,0,0,0,0,0,0
ERCC-00074,6,8,1,10,3,6
ERCC-00075,0,0,0,0,0,0
ERCC-00076,0,0,1,0,0,0
ERCC-00077,0,0,0,0,0,0
ERCC-00078,0,0,0,0,0,0
ERCC-00079,0,0,0,0,0,0
ERCC-00081,0,0,0,0,0,0
ERCC-00083,0,0,0,0,0,0
ERCC-00084,0,0,0,0,0,0
ERCC-00085,0,0,0,0,0,0
ERCC-00086,0,0,0,0,0,0
ERCC-00092,0,0,0,0,0,0
ERCC-00095,0,1,0,0,0,0
ERCC-00096,3,4,6,6,5,7
ERCC-00097,0,0,0,0,0,0
ERCC-00098,0,0,0,0,0,0
ERCC-00099,0,0,0,0,0,0
ERCC-00104,0,0,0,0,0,0
ERCC-00108,0,0,2,2,0,1
ERCC-00109,0,0,0,0,0,0
ERCC-00111,0,0,0,0,0,0
ERCC-00112,0,0,0,0,0,0
ERCC-00113,0,1,2,2,1,0
ERCC-00116,0,0,0,0,0,0
ERCC-00117,0,0,0,0,0,0
ERCC-00120,0,0,0,0,0,0
ERCC-00123,0,0,0,0,0,0
ERCC-00126,0,0,0,0,0,0
ERCC-00128,0,0,0,0,0,0
ERCC-00130,7,8,2,5,3,6
ERCC-00131,0,0,0,0,0,0
ERCC-00134,0,0,0,0,0,0
ERCC-00136,0,0,0,0,0,1
ERCC-00137,0,0,1,0,0,0
ERCC-00138,0,0,0,0,0,0
ERCC-00142,0,0,0,0,0,0
ERCC-00143,0,0,0,0,0,0
ERCC-00144,0,0,0,0,0,0
ERCC-00145,0,0,0,2,1,0
ERCC-00147,0,0,0,0,0,0
ERCC-00148,0,0,0,0,0,0
ERCC-00150,0,0,0,0,0,0
ERCC-00154,0,0,0,0,0,0
ERCC-00156,0,0,0,0,0,0
ERCC-00157,0,0,0,0,0,0
ERCC-00158,0,0,0,0,0,0
ERCC-00160,0,0,0,0,0,0
ERCC-00162,0,0,0,0,0,0
ERCC-00163,0,0,0,0,0,0
ERCC-00164,0,0,0,0,0,0
ERCC-00165,0,0,0,0,0,0
ERCC-00168,0,0,0,0,0,0
ERCC-00170,0,0,0,0,0,0
ERCC-00171,1,0,0,0,0,0
FBgn0000003,27,41,30,24,6,15
FBgn0000008,10,290,94,42,18,28
FBgn0000014,2,0,2,0,1,0
FBgn0000015,22,31,17,73,30,82
FBgn0000017,8969,8005,9036,12693,10662,12327
FBgn0000018,317,515,274,624,192,99
FBgn0000022,0,0,0,0,0,0
FBgn0000024,39767,51990,36240,81674,64519,72766
FBgn0000028,3990,5019,3971,10388,7425,8430
FBgn0000032,1160,2072,929,1529,1132,1240
FBgn0000036,1388,2367,1583,1604,1023,1594
FBgn0000037,13433,13857,9112,14599,13665,15278
FBgn0000038,103860,150439,114137,188204,151934,180106
FBgn0000039,7084,7527,4968,7639,6789,8143
FBgn0000042,220506,278293,204055,335759,266953,299314
FBgn0000043,194908,256941,188819,239081,193676,238807
FBgn0000044,18,37,21,18,3,35
FBgn0000045,0,8,5,174,26,159
FBgn0000046,210,335,130,350,168,149
FBgn0000047,0,0,0,32,47,25
FBgn0000052,1,37,116,8,17,74
FBgn0000053,284,628,117,196,164,75
FBgn0000054,14572,24448,14321,42869,37380,41564
FBgn0000055,1,0,0,6,0,2
FBgn0000056,0,0,0,0,0,0
FBgn0000057,1431,1817,1037,1440,705,1012
FBgn0000061,3,0,0,14,12,26
FBgn0000063,75,333,109,259,232,366
FBgn0000064,29539,41727,31660,46381,38121,41877
FBgn0000071,468,1083,692,520,836,396
FBgn0000075,1,7,0,0,0,4
FBgn0000077,969,1505,786,678,519,1045
FBgn0000078,11,17,0,1,0,1
FBgn0000079,131,124,1,0,2,0
FBgn0000083,250,463,109,361,453,496
FBgn0000084,3142,3243,2816,3913,3406,3772
FBgn0000092,11,4,10,0,0,5
FBgn0000094,0,0,0,0,0,0
FBgn0000097,1465,1577,970,1852,1303,2266
FBgn0000100,23937,30457,21921,31438,24763,32742
FBgn0000108,12942,17383,10356,14879,11528,15285
FBgn0000109,312,345,368,238,161,344
FBgn0000114,563,689,318,602,357,244
FBgn0000115,1098,1612,1243,1676,1191,1710
FBgn0000116,20630,26620,20762,24551,21921,24230
FBgn0000117,52413,49719,32017,69101,65869,63062
FBgn0000119,492,397,583,1126,831,1144
FBgn0000120,10,1,7,1,0,13
FBgn0000121,2,0,28,0,0,190
FBgn0000137,2,0,0,182,0,0
FBgn0000139,2383,2090,1193,1515,1991,1411
FBgn0000140,7,1,54,11,19,7
FBgn0000146,249,131,70,123,50,88
FBgn0000147,214,298,300,444,234,76
FBgn0000150,7265,12769,10418,14785,10494,13232
FBgn0000152,82,162,305,331,323,1132
FBgn0000153,0,41,18,3,2,0
FBgn0000157,228,49,37,59,81,106
FBgn0000158,0,0,0,0,0,0
FBgn0000163,47,346,77,71,167,73
FBgn0000166,13,0,0,0,0,0
FBgn0000173,3639,5750,4377,6420,4515,5907
FBgn0000179,112,395,350,161,475,247
FBgn0000180,4020,8190,4610,5142,6755,6328
FBgn0000181,4551,5992,4252,7375,4445,7047
FBgn0000182,0,0,0,9,0,0
FBgn0000183,1629,1438,1668,2389,1961,1610
FBgn0000206,5,1,0,4,1,23
FBgn0000212,2523,2892,1903,2003,2221,2242
FBgn0000216,0,0,0,0,0,0
FBgn0000221,420,570,226,272,521,404
FBgn0000227,0,79,0,2,0,0
FBgn0000228,375,265,129,159,334,173
FBgn0000229,12296,14897,10562,13428,10065,13038
FBgn0000233,26,78,0,97,91,152
FBgn0000239,1358,2001,952,1545,1146,1422
FBgn0000241,124,157,16,182,316,548
FBgn0000244,32,15,94,68,17,18
FBgn0000246,23,4,19,26,26,139
FBgn0000247,3688,6210,3217,9243,6269,7843
FBgn0000250,1665,1217,1183,1669,1745,1500
FBgn0000251,0,4,1,28,123,1
FBgn0000253,26368,35654,27727,28655,22610,32845
FBgn0000256,143,278,114,423,287,380
FBgn0000257,1229,2047,708,1469,787,1026
FBgn0000259,11435,13806,11519,17108,12865,15907
FBgn0000261,1280,1757,1236,3557,1889,2265
FBgn0000273,10199,10330,7245,7512,5971,6587
FBgn0000274,0,0,1,0,1,0
FBgn0000276,0,0,0,0,1,0
FBgn0000277,0,0,0,0,0,0
FBgn0000278,0,0,0,0,1,0
FBgn0000279,0,0,0,0,0,0
FBgn0000280,0,0,0,0,0,0
FBgn0000281,0,0,0,0,0,0
FBgn0000283,1093,1212,828,878,474,371
FBgn0000286,742,747,351,664,495,450
FBgn0000287,2371,2848,2150,3088,2862,3276
FBgn0000289,16810,19759,13260,20901,13570,17764
FBgn0000299,232,124,76,731,105,153
FBgn0000303,2086,2027,1679,2996,1502,3155
FBgn0000307,811,1206,562,1328,973,1386
FBgn0000308,61288,82586,58142,69218,55833,69143
FBgn0000316,1296,1631,1128,1237,1092,1473
FBgn0000317,8,767,40,17,28,2
FBgn0000318,2554,4135,3271,4536,3486,4827
FBgn0000319,2370,3255,1540,3568,2881,3016
FBgn0000320,12,43,2,0,3,15
FBgn0000326,1493,1819,1189,1912,2105,1219
FBgn0000330,2132,3099,2082,2303,3113,1821
FBgn0000337,0,0,0,0,0,3
FBgn0000339,3042,4199,3178,4588,3241,4764
FBgn0000346,330,411,265,698,499,278
FBgn0000351,116,119,0,14,39,196
FBgn0000352,1972,1787,1172,4048,4014,3559
FBgn0000355,0,0,0,0,1,0
FBgn0000356,0,0,0,0,0,0
FBgn0000357,0,0,4,5,21,15
FBgn0000358,0,0,0,0,0,0
FBgn0000359,0,0,0,0,1,0
FBgn0000360,58,144,307,330,2,375
