126:127C,127N:128N,127N:127C,126:128N,126:128C,127N:129C,127N:128C,126:129N,128C:129C,129N:130N,129N:129C,128C:130N,accession_number,numPepsUnique,accession_numbers,entry_name,FBgn,flybase,plasma membrane,membrane,cytosol,nucleus,mitochondria
0.5585,1.818,0.8635,1.467,0.081,2.338,0.425,-0.1195,2.323,0.428,2.426,0.256,Q59DV8,3,Q59DV8|C4IXY7|Q8MQS5|Q9W1F6,Munin,FBgn0262869,Gfrl,1,1,0,0,0
1.5195,0.586,1.2475,0.841,0.31,1.818,0.02,0.1895,1.768,0.408,1.843,0.252,Q9W260,12,Q9W260|Q9XZB7,GH03113p,FBgn0025878,wrapper,0,0,0,0,0
1.6875,2.162,2.1115,2.315,0.338,2.182,0.544,0.0945,1.54,0.815,1.746,0.946,Q9W0C1,8,Q9W0C1|Q9W0C2|D0IQJ1|Q86BQ0,GH04664p,FBgn0013342,nSyb,1,1,0,0,0
1.2945,0.74,1.3495,0.674,-0.305,1.446,-0.148,-0.2425,1.439,0.832,1.63,0.812,Q24298,19,Q24298|C9QP08,DE-cadherin,FBgn0003391,shg,1,1,0,0,0
1.5425,1.056,1.5665,1.051,0.181,1.679,0.186,0.0425,1.448,0.776,1.624,0.608,P20241,67,P20241|P20241-2|C0PTX6,Neuroglian,FBgn0264975,Nrg,1,1,0,0,0
1.5705,0.782,1.6585,0.79,0.019,1.546,0.058,-0.0635,1.621,0.295,1.565,0.287,C9QPI3,7,C9QPI3|Q9VM10|Q961H6,RH25769p,FBgn0025697,santa-maria,0,1,0,0,0
1.6425,1.096,1.6685,1.111,-0.046,1.534,0.082,-0.0895,1.445,0.913,1.523,0.857,Q7KIN0,19,Q7KIN0|Q2XXU8|E1NZA7|B7FNN1|B4YXW0,Toll-7,FBgn0034476,Toll-7,1,1,0,0,0
2.2375,1.637,2.0815,1.756,1.305,1.945,1.179,0.5565,0.721,0.892,1.51,0.172,Q9VJ94,2,Q9VJ94|Q1WWB2,CG42400,FBgn0261804,CG42750,0,1,0,0,0
1.6585,1.579,1.7615,1.538,0.478,1.909,0.609,0.2605,1.203,1.08,1.479,0.852,O15943,160,O15943|O15943-6|O15943-3|O15943-8|Q4ABE7|O15943-5|Q4ABE8|O15943-7|Q4ABF0|O15943-2|Q4ABE9|O15943-4|D9PTW4|Q0E8P8|G4LU36|Q9VJB6,Neural-cadherin,FBgn0015609,CadN,1,1,0,0,0
1.6805,1.136,1.3245,1.431,0.243,1.365,0.05,0.1395,1.337,0.977,1.416,0.927,Q6AWM0,15,Q6AWM0|G7H845|Q01819|E4NKH0,RE20842p,FBgn0005775,Con,0,0,0,0,0
1.4115,0.393,1.1885,0.466,0.029,1.356,0.039,0.0285,1.255,0.318,1.404,0.283,P34082,45,P34082|C0PTW6|P34082-2|P34082-3|B5RJI6,Fasciclin-2,FBgn0000635,Fas2,1,1,1,0,0
1.9005,1.464,1.8315,1.575,0.573,1.773,0.559,0.3825,1.158,0.952,1.393,0.818,Q7KJ08,36,Q7KJ08|Q8SWV4,Alk,FBgn0040505,Alk,0,1,0,0,0
